建築棟3階入口,けんちくとうさんかいいりぐち　けんちくとう3かいいりぐち,3F　建築棟,74.6,-86.5,3,
製図室(建築棟),せいずしつ(けんちく),3F 建築棟,81,-89,3,建築図面の製作をするところです
コンピュータ(CAD)実習室(建築棟),こんぴゅーたじっしゅうしつ(けんちく),3F 建築棟,78,-90,3,パソコンで図面の製作を行うところです
実習準備室(建築棟),じっしゅうじゅんびしつ(けんちく),3F 建築棟,77,-82,3,建築系の先生の職員室です
マルチメディア実習室,まるちめでぃあじっしゅうしつ,3F 建築棟,76,-90,3,CAD室に比べて高性能なパソコンが置いてあります
造形実習室,ぞうけいじっしゅうしつ,3F 建築棟,82,-76,3,建物の模型を作る実習で使う部屋です
環境棟3階入口,かんきょうとうさんかいいりぐち　かんきょうとう3かいいりぐち,3F 環境棟,74.6,-63.5,3,
製図室(環境棟),せいずしつ(かんきょう),3F 環境棟,81,-60,3,図面の製作を行う部屋です
コンピュータ(CAD)実習室(環境棟),こんぴゅーたじっしゅうしつ(かんきょう),3F 環境棟,78.2,-59,3,パソコンで図面の制作を行う部屋です
環境計測実習室,かんきょうけいそくじっしゅうしつ,3F 環境棟,76,-59,3,計測の実習で使われます
生徒会室(全日制),せいとかいしつ(ぜんにち),3F 教室棟,70.5,-117,3,全日制の生徒会が活動しています
301教室,さんぜろいちきょうしつ 機械システム系 きかいしすてむ 機械しすてむ 1ねん 1年 いちねん A 機1A き1A,3F 教室棟 機械システム系 A組,71.0,-108.0,3,
302教室,さんぜろにきょうしつ 機械システム系 きかいしすてむ 機械しすてむ 1ねん 1年 いちねん B 機1B き1B,3F 教室棟 機械システム系 B組,71.0,-102.0,3,
303教室,さんぜろさんきょうしつ 機械システム系 きかいしすてむ 機械しすてむ 1ねん 1年 いちねん C 機1C き1C,3F 教室棟 機械システム系 C組,71.0,-96.0,3,
304教室,さんぜろよんきょうしつ 電気情報システム系 でんきじょうほうしすてむ 1ねん 1年 いちねん でんいちA でん1A 電1A でんじょう 電情,3F 教室棟 電気情報システム系 A組,71.0,-90.0,3,
305教室,さんぜろごきょうしつ 電気情報システム系 でんきじょうほうしすてむ 1ねん 1年 いちねん でんいちB 電1B でん1B でんじょう 電情,3F 教室棟 電気情報システム系 B組,71.0,-84.0,3,
306教室,さんぜろろくきょうしつ 建築デザイン系 けんちくでざいん 1ねん 1年 いちねん 建1 けんいち けん1 建1,3F 教室棟 建築デザイン系,71.0,-78.0,3,
307教室,さんぜろななきょうしつ 環境建設システム系 かんきょうけんせつしすてむ 1ねん 1年 いちねん かんいちA 環1A,3F 教室棟 環境建設システム系 A組,71.0,-72.0,3,
308教室,さんぜろはちきょうしつ 環境建設システム系 かんきょうけんせつしすてむ 1ねん 1年 いちねん かんいちB 環1B,3F 教室棟 環境建設システム系 B組,71.0,-66.0,3,
311教室,さんいちいちきょうしつ,3F 管理棟,56,-140,3,
312教室,さんいちにきょうしつ,3F 管理棟,56,-133,3,
313教室,さんいちさんきょうしつ,3F 管理棟,56,-127,3,
314教室,さんいちよんきょうしつ,3F 管理棟,56,-121,3,
生徒会室(定時制),せいとかいしつ(ていじ),3F 管理棟,56,-116,3,定時制の生徒会が活動をしています
語学演習室,ごがくえんしゅうしつ,3F 管理棟,54,-100,3,課外授業や、定時制の授業で使われます
美術準備室,びじゅつじゅんびしつ,3F 管理棟,60,-102,3,美術の先生がいます
美術室,びじゅつしつ,3F 管理棟,60,-95,3,美術の授業で使われます
社会科教室,しゃかいかきょうしつ,3F 管理棟,54,-92,3,定時制の授業や、課外授業で使われます
社会科準備室,しゃかいかじゅんびしつ,3F 管理棟,54,-86,3,社会科の先生がいます
調理準備室,ちょうりじゅんびしつ,3F 管理棟,54,-82,3,家庭科の先生がいます
調理実習室,ちょうりじっしゅうしつ,3F 管理棟,54,-75,3,調理実習をするときに使われます
被服準備室,ひふくじゅんびしつ,3F 管理棟,60,-72,3,家庭科の先生がいます
被服室,ひふくしつ,3F 管理棟,60,-78,3,家庭科の座学や、実習で使われます

